ts,book,equity
2026-09-22T04:15:39.956261+00:00,shadow,10367.676721230668
2026-09-22T04:30:40.749633+00:00,guarded,10196.101311318005
2026-09-22T04:30:40.751210+00:00,shadow,10367.676721230668
2026-09-22T04:42:27.202660+00:00,guarded,10196.101311318005
2026-09-22T04:42:27.204616+00:00,shadow,10367.676721230668
2026-09-22T04:45:37.123880+00:00,guarded,10196.101311318005
2026-09-22T04:45:37.125107+00:00,shadow,10367.676721230668
2026-09-22T05:00:41.782520+00:00,guarded,10196.101311318005
2026-09-22T05:00:41.783724+00:00,shadow,10367.676721230668
2026-09-22T05:15:36.928178+00:00,guarded,10196.101311318005
2026-09-22T05:15:36.929476+00:00,shadow,10367.676721230668
2026-09-22T05:30:43.924072+00:00,guarded,10196.101311318005
2026-09-22T05:30:43.925473+00:00,shadow,10367.676721230668
2026-09-22T05:45:58.564447+00:00,guarded,10196.101311318005
2026-09-22T05:45:58.565941+00:00,shadow,10367.676721230668
2026-09-22T06:00:41.820339+00:00,guarded,10196.101311318005
2026-09-22T06:00:41.821743+00:00,shadow,10367.676721230668
2026-09-22T06:15:37.177598+00:00,guarded,10196.101311318005
2026-09-22T06:15:37.178842+00:00,shadow,10367.676721230668
2026-09-22T06:30:43.916869+00:00,guarded,10196.101311318005
2026-09-22T06:30:43.918734+00:00,shadow,10367.676721230668
2026-09-22T06:45:40.395873+00:00,guarded,10196.101311318005
2026-09-22T06:45:40.397460+00:00,shadow,10367.676721230668
2026-09-22T07:00:43.702671+00:00,guarded,10196.101311318005
2026-09-22T07:00:43.704062+00:00,shadow,10367.676721230668
2026-09-22T07:15:40.590692+00:00,guarded,10196.101311318005
2026-09-22T07:15:40.592032+00:00,shadow,10367.676721230668
2026-09-22T07:30:44.771995+00:00,guarded,10196.101311318005
2026-09-22T07:30:44.773507+00:00,shadow,10367.676721230668
2026-09-22T07:45:49.166508+00:00,guarded,10196.101311318005
2026-09-22T07:45:49.168696+00:00,shadow,10367.676721230668
2026-09-22T08:00:43.341963+00:00,guarded,10196.101311318005
2026-09-22T08:00:43.343698+00:00,shadow,10367.676721230668
2026-09-22T08:15:39.530324+00:00,guarded,10196.101311318005
2026-09-22T08:15:39.531663+00:00,shadow,10367.676721230668
2026-09-22T08:30:39.194993+00:00,guarded,10196.101311318005
2026-09-22T08:30:39.196471+00:00,shadow,10367.676721230668
2026-09-22T08:45:41.510378+00:00,guarded,10196.101311318005
2026-09-22T08:45:41.511589+00:00,shadow,10367.676721230668
2026-09-22T09:00:53.957195+00:00,guarded,10196.101311318005
2026-09-22T09:00:53.958397+00:00,shadow,10361.37017321069
2026-09-22T09:15:40.182106+00:00,guarded,10196.101311318005
2026-09-22T09:15:40.183334+00:00,shadow,10361.37017321069
2026-09-22T09:30:43.121416+00:00,guarded,10196.101311318005
2026-09-22T09:30:43.122529+00:00,shadow,10361.37017321069
2026-09-22T09:45:49.491184+00:00,guarded,10196.101311318005
2026-09-22T09:45:49.492654+00:00,shadow,10361.37017321069
2026-09-22T09:51:38.795310+00:00,guarded,10196.101311318005
2026-09-22T09:51:38.796866+00:00,shadow,10361.37017321069
2026-09-22T10:00:47.004458+00:00,guarded,10196.101311318005
2026-09-22T10:00:47.005772+00:00,shadow,10361.37017321069
2026-09-22T10:15:39.160408+00:00,guarded,10196.101311318005
2026-09-22T10:15:39.161688+00:00,shadow,10361.37017321069
2026-09-22T10:30:43.446917+00:00,guarded,10196.101311318005
2026-09-22T10:30:43.448188+00:00,shadow,10361.37017321069
2026-09-22T10:45:39.458539+00:00,guarded,10196.101311318005
2026-09-22T10:45:39.459849+00:00,shadow,10361.37017321069
2026-09-22T11:00:47.271993+00:00,guarded,10196.101311318005
2026-09-22T11:00:47.273420+00:00,shadow,10361.37017321069
2026-09-22T11:15:37.923046+00:00,guarded,10196.101311318005
2026-09-22T11:15:37.924543+00:00,shadow,10361.37017321069
2026-09-22T11:30:45.801373+00:00,guarded,10196.101311318005
2026-09-22T11:30:45.802701+00:00,shadow,10361.37017321069
2026-09-22T11:45:43.791045+00:00,guarded,10196.101311318005
2026-09-22T11:45:43.792380+00:00,shadow,10361.37017321069
2026-09-22T12:00:45.819997+00:00,guarded,10196.101311318005
2026-09-22T12:00:45.821403+00:00,shadow,10361.37017321069
2026-09-22T12:15:39.572850+00:00,guarded,10196.101311318005
2026-09-22T12:15:39.574155+00:00,shadow,10361.37017321069
2026-09-22T12:30:45.597254+00:00,guarded,10196.101311318005
2026-09-22T12:30:45.598488+00:00,shadow,10361.37017321069
2026-09-22T12:45:41.743151+00:00,guarded,10196.101311318005
2026-09-22T12:45:41.744373+00:00,shadow,10361.37017321069
2026-09-22T13:00:41.093805+00:00,guarded,10196.101311318005
2026-09-22T13:00:41.095042+00:00,shadow,10361.37017321069
2026-09-22T13:15:38.436565+00:00,guarded,10196.101311318005
2026-09-22T13:15:38.438279+00:00,shadow,10361.37017321069
2026-09-22T13:30:58.041665+00:00,guarded,10196.101311318005
2026-09-22T13:30:58.072357+00:00,shadow,10361.37017321069
2026-09-22T13:45:35.281075+00:00,guarded,10196.101311318005
2026-09-22T13:45:35.282256+00:00,shadow,10361.37017321069
2026-09-22T14:00:42.115038+00:00,guarded,10196.101311318005
2026-09-22T14:00:42.116302+00:00,shadow,10361.37017321069
2026-09-22T14:15:42.677815+00:00,guarded,10196.101311318005
2026-09-22T14:15:42.679328+00:00,shadow,10361.37017321069
2026-09-22T14:30:40.743792+00:00,guarded,10196.101311318005
2026-09-22T14:30:40.745164+00:00,shadow,10361.37017321069
2026-09-22T14:42:16.567496+00:00,guarded,10196.101311318005
2026-09-22T14:42:16.568531+00:00,shadow,10245.953788137049
2026-09-22T14:45:39.904370+00:00,guarded,10196.101311318005
2026-09-22T14:45:39.905657+00:00,shadow,10245.953788137049
